Designator,Mid X,Mid Y,Rotation,Layer
C1,107.5,-106.5,180.0,top
C10,116.25,-92.0,90.0,top
C11,118.75,-92.0,180.0,top
C12,122.75,-103.5,0.0,top
C13,119.5,-106.25,270.0,top
C14,121.75,-92.0,0.0,top
C15,104.75,-107.25,90.0,top
C2,111.0,-106.5,0.0,top
C3,104.75,-91.5,90.0,top
C4,107.75,-94.5,90.0,top
C5,104.75,-98.0,270.0,top
C6,106.25,-91.5,90.0,top
C7,119.75,-100.5,0.0,top
C8,108.25,-104.0,270.0,top
C9,113.5,-106.25,270.0,top
D1,105.5,-103.5,0.0,top
D2,105.5,-105.0,180.0,top
FB1,106.25,-98.0,90.0,top
FB2,107.75,-91.5,90.0,top
H1,118.25,-81.25,0.0,top
H2,104.75,-110.25,0.0,top
J1,111.376,-82.487,180.0,top
Q1,115.75,-109.5,180.0,top
R1,110.75,-92.0,0.0,top
R10,115.0,-106.25,270.0,top
R11,116.5,-106.25,270.0,top
R12,118.0,-106.25,270.0,top
R13,118.0,-109.5,270.0,top
R14,105.5,-100.5,0.0,top
R15,105.5,-102.0,0.0,top
R16,118.75,-93.5,0.0,top
R2,119.75,-102.0,180.0,top
R3,118.75,-95.0,0.0,top
R4,122.75,-102.0,180.0,top
R5,118.75,-90.5,0.0,top
R6,117.75,-84.5,270.0,top
R7,117.75,-87.5,90.0,top
R8,114.75,-92.0,270.0,top
R9,113.25,-92.0,270.0,top
U1,105.5,-94.75,270.0,top
U2,112.75,-99.25,0.0,top
Y1,109.25,-109.25,0.0,top
